Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Forum","Forum","","26 / 2011 - 33 / 2018","","","","","http://link.springer.com/journal/12312","Journal"
"Allergy, Asthma & Clinical Immunology","Allergy, Asthma & Clinical Immunology","","1 / 2005 - 14 / 2018","","","","","http://link.springer.com/journal/13223","Journal"
"Coaching | Theorie & Praxis","Coaching | Theorie & Praxis","","1 / 2015 - 3 / 2017","","","","","http://link.springer.com/journal/40896","Journal"
"Cellular Oncology","Cellular Oncology","","34 / 2011 - 41 / 2018","","","","","http://link.springer.com/journal/13402","Journal"
"Toxicological Reviews","Toxicological Reviews","","21 / 2002 - 25 / 2006","","","","","http://link.springer.com/journal/40287","Journal"
"Journal of Dynamics and Differential Equations","Journal of Dynamics and Differential Equations","","1 / 1989 - 30 / 2018","","","","","http://link.springer.com/journal/10884","Journal"
"Progress in Earth and Planetary Science","Progress in Earth and Planetary Science","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40645","Journal"
"Optoelectronics, Instrumentation and Data Processing","Optoelectronics, Instrumentation and Data Processing","","43 / 2007 - 54 / 2018","","","","","http://link.springer.com/journal/11974","Journal"
"Biomaterials Research","Biomaterials Research","","18 / 2014 - 22 / 2018","","","","","http://link.springer.com/journal/40824","Journal"
"Doklady Biophysics","Doklady Biophysics","","373 / 2000","","","","","http://link.springer.com/journal/10629","Journal"
"BMC Cancer","BMC Cancer","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12885","Journal"
"Molecular Diagnosis & Therapy","Molecular Diagnosis & Therapy","","5 / 2000 - 22 / 2018","","","","","http://link.springer.com/journal/40291","Journal"
"European Journal of Clinical Microbiology & Infectious Diseases","European Journal of Clinical Microbiology & Infectious Diseases","","1 / 1982 - 37 / 2018","","","","","http://link.springer.com/journal/10096","Journal"
"Journal of Applied Mechanics and Technical Physics","Journal of Applied Mechanics and Technical Physics","","6 / 1965 - 59 / 2018","","","","","http://link.springer.com/journal/10808","Journal"
"Theory and Society","Theory and Society","","1 / 1974 - 47 / 2018","","","","","http://link.springer.com/journal/11186","Journal"
"International Entrepreneurship and Management Journal","International Entrepreneurship and Management Journal","","1 / 2005 - 14 / 2018","","","","","http://link.springer.com/journal/11365","Journal"
"Documenta Ophthalmologica","Documenta Ophthalmologica","","1 / 1938 - 136 / 2018","","","","","http://link.springer.com/journal/10633","Journal"
"Il Nuovo Cimento D","Il Nuovo Cimento D","","1 / 1982 - 20 / 1998","","","","","http://link.springer.com/journal/11544","Journal"
"Journal of Applied Spectroscopy","Journal of Applied Spectroscopy","","2 / 1965 - 85 / 2018","","","","","http://link.springer.com/journal/10812","Journal"
"European Spine Journal","European Spine Journal","","1 / 1993 - 27 / 2018","","","","","http://link.springer.com/journal/586","Journal"
"Journal of Cancer Education","Journal of Cancer Education","","22 / 2007 - 33 / 2018","","","","","http://link.springer.com/journal/13187","Journal"
"Feminist Review","Feminist Review","","1 / 1979 - 117 / 2017","","","","","http://link.springer.com/journal/41305","Journal"
"Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry","Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry","","52 / 2011 - 59 / 2018","","","","","http://link.springer.com/journal/13366","Journal"
"ästhetische dermatologie & kosmetologie","ästhetische dermatologie & kosmetologie","","4 / 2012 - 10 / 2018","","","","","http://link.springer.com/journal/12634","Journal"
