journal_title,Science China Materials
article_title,A dual-electrolyte system for photoelectrochemical hydrogen generation using CuInS2-In2O3-TiO2 nanotube array thin filmCuInS2-In2O3-TiO2纳米管阵列薄膜双电介质体系在光电化学产氢中的应用
keyword,"['dual-electrolyte\xa0', 'hydrogen generation\xa0', 'photoelectrochemical\xa0', None, None]"
history,"['2018-04-04', '2017-11-07', '2018-02-26']"
abstract,"Abstract The utilization of Na2S/Na2SO3 mixture as the electrolyte solution to stabilize sulfide anode in a photoelectrochemical cell for hydrogen evolution generally compromises the current-to-hydrogen efficiency (η-current) of the system. Here, the employment of a dual-electrolyte system, that is, Na2S/Na2SO3 mixture and pH-neutral Na2SO4 as the respective electrolyte solutions in the anode and cathode chambers of a water splitting cell is demonstrated to suppress the photocorrosion of CuInS2-In2O3-TiO2 nanotube (CIS-In2O3-TNT) heterostructure, while simultaneously boosts the η-current. Although n-type CIS and In2O3 nanoparticles can be easily formed on TNT array via facile pulse-assisted electrodeposition method, conformal deposition of the nanoparticles homogeneously on the nanotubes wall with preservation of the TNT hollow structure is shown to be essential for achieving efficient charge generation and separation within the heterostructure. In comparison to Na2S/Na2SO3 solution as the sole electrolyte in both the anode and cathode chambers, introduction of dual electrolyte is shown to not only enhance the photostability of the CIS-In2O3-TNT anode, but also lead to near-unity η-current as opposed to the merely 20% η-current of the single-electrolyte system."
journal_title,Science China Materials
article_title,Enhanced thermoelectric performance of Cu12Sb4S13−δ tetrahedrite via nickel dopingNi掺杂提高Cu12Sb4S13−δ黝铜矿热电性能
keyword,"['nickel doping\xa0', 'tetrahedrite\xa0', 'thermoelectric\xa0']"
history,"['2018-03-29', '2018-02-03', '2018-03-05']"
abstract,"Abstract Cu12Sb4S13 tetrahedrite has received great attention as an earth-abundant and environmental-friendly thermoelectric material. This work aims to uncover the thermoelectric performance-enhancing effect and the mechanism of nickel doping on tetrahedrite. A series of Cu12−xNi x Sb4S13−δ (x = 0.5, 0.7, 1.0, 1.5 and 2.0) compounds were synthesized by mechanical alloying combined with spark plasma sintering. It is found that the thermal conductivity sharply reduces with increasing Ni content over the entire temperature range, < 0.9 W m−1 K−1, accompanied with an enhanced thermoelectric power factor. The model predicted that the reduced lattice thermal conductivity is attributed to mid-frequency phonon scattering, caused by precipitates and dislocations resulting from Ni doping. Consequently, a high ZT value up to 0.95 at 723 K was achieved for Cu11NiSb4S13−δ, corresponding to a ∼46% increase over non-doped Cu12Sb4S13−δ. Furthermore, the cyclic measurement showed that the Ni-doped tetrahedrites displayed high chemical stability."
journal_title,Science China Materials
article_title,Macrophages loaded CpG and GNR-PEI for combination of tumor photothermal therapy and immunotherapy载GNR-PEI/CpG巨噬细胞用于肿瘤的光热和免疫联合治疗
keyword,"['hyperbranched polymers\xa0', 'immunotherapy\xa0', 'macrophages\xa0', 'photothermal therapy\xa0', 'synergistic treatment\xa0']"
history,"['2018-03-27', '2018-02-07', '2018-03-03']"
abstract,"Abstract Nano-therapeutic approach for clinical implementation of tumors remains a longstanding challenge in the medical field. The main challenges are rapid clearance, offtarget effect and the limited role in the treatment of metastatic tumors. Toward this objective, a cell-mediated strategy by transporting photothermal reagents and CpG adjuvant within macrophage vehicles is performed. The photothermal reagents are constructed by conjugating of hyperbranched polyethyleimine (PEI) to golden nanorode (GNR) via S-Au bonds. GNR-PEI/CpG nanocomposites, formed via electrostatic interaction and displayed excellent near-infrared (NIR) photothermal performance, exhibit immense macrophage uptake and negligible cytotoxic effect, which is essential for the fabrication of GNR-PEI/CpG loaded macrophages. GNR-PEI/ CpG loaded macrophages demonstrated admirable photothermal response in vitro. Benefited from the functionalization of the binding adhesion between macrophages and 4T1 cells, GNR-PEI/CpG loaded macrophages significantly promoted tumor accumulation in vivo and dramatically enhanced the efficiency of photothermal cancer therapy. Moreover, the immune system is activated after photothermal therapy, which is mainly attributed to the generation of tumor specific antigens and CpG adjuvant in situ. Our findings provide a potential cell-mediated nanoplatform for tumor therapy by combination of near infrared photothermal therapy and immunotherapy."
journal_title,Science China Materials
article_title,"Conducting polymer-based peroxidase mimics: synthesis, synergistic enhanced properties and applications导电高分子基类过氧化物酶: 制备、协同增强性质及其应用"
keyword,"['conducting polymers\xa0', 'artificial enzymes\xa0', 'peroxidase mimics\xa0', 'nanocomposite\xa0', 'synergistic effect\xa0']"
history,"['2018-03-22', '2017-01-12', '2018-02-23']"
abstract,"Abstract The concept of artificial enzymes has been proposed for a long time and a large variety of materials have been exploited in enzyme-like catalytic field for decades. The emergence of nanotechnology provides increasing opportunities for the development of artificial enzymes. Conducting polymer-based nanocomposites are a new type of burgeoning functional materials as enzyme mimics owing to their numerous functional groups, excellent electrical conductivity and redox properties. This review summarizes the recent progress of the synthesis of conducting polymers and their nanocomposites, as well as their applications as efficient peroxidase mimics. After a brief description of the development of conducting polymers, we specifically introduce the fabrication of conducting polymers and their nanocomposites via diverse approaches and show the enhanced peroxidase-like catalytic properties. In addition, the mechanism of the enhanced catalytic efficiency of the conducting polymer-based nanocomposites has been proposed. Finally, we highlight the applications of such conducting polymer-based nanocomposites in the sensitive detection of different types of substances. It is anticipated that this review will pave the way for developing more intriguing functional nanomaterials as enzyme mimics, which shows promising applications in a great many technological fields."
journal_title,Science China Materials
article_title,Additive manufactured metallic implants for orthopaedic applications用于矫形外科的增材制造金属植入物
keyword,"['3D printing\xa0', 'additive manufacturing\xa0', 'electron beam melting\xa0', 'orthopaedic implants\xa0', 'patient-specific\xa0', 'porous scaffold\xa0']"
history,"['2018-03-22', '2017-10-31', '2018-03-06']"
abstract,"Abstract Metallic implants are commonly used in various orthopaedic surgeries, like fracture fixation, spinal instrumentation, joint replacement and bone tumour surgery. Patients may need to adapt to the fixed dimensions of the standard implants. It may result in suboptimal fit to the host bones and possible adverse clinical results. The standard traditional implants may not address the reconstructive challenges such as severe bone deformity or bone loss after implant loosening and bone tumour resection. With the advent of digital technologies in medical imaging, computer programming in three-dimensional (3D) modelling and computer-assisted tools in precise placement of implants, patient-specific implants (PSI) have gained more attention in complex orthopaedic reconstruction. Additive manufacturing technology, in contrast to the conventional subtractive manufacturing, is a flexible process that can fabricate anatomically conforming implants that match the patients’ anatomy and surgical requirements. Complex internal structures with porous scaffold can also be built to enhance osseointegration for better implant longevity. Although basic studies have suggested that additive manufactured (AM) metal structures are good engineered biomaterials for bone replacement, not much peer-reviewed literature is available on the clinical results of the new types of implants. The article gives an overview of the metallic materials commonly used for fabricating orthopaedic implants, describes the metal-based additive manufacturing technology and the processing chain in metallic implants; discusses the features of AM implants; reports the current status in orthopaedic surgical applications and comments on the challenges of AM implants in orthopaedic practice."
journal_title,Science China Materials
article_title,Synthesis of water-soluble dye-cored poly (amidoamine) dendrimers for long-term live cell imaging基于扇形PAMAM树枝制备的水溶性荧光树枝状分子及其长效活细胞荧光成像
keyword,"['fluorescent dendrimers\xa0', 'fan-shaped PAMAM\xa0', 'perylene bisimides\xa0', 'water solubility\xa0', 'live cell imaging\xa0']"
history,"['2018-03-21', '2018-02-09', '2018-03-06']"
