콜라보,타이틀,낙찰가격,출시년도,재질,크기,박스크기,에디션,컨디션,정보 디테일
KAWS X BE@RBRICK,NexusVII 400%,"$11,875.00",2007,Wood,10-3/4 x 5 x 3-1/4 inches (27.3 x 12.7 x 8.3 cm) (toy),12-1/8 x 6-3/4 x 4-3/4 inches (30.8 x 17.1 x 12.1 cm) (box),Edition of 400,"Condition Report*:
Condition report available upon request.","KAWS X BE@RBRICK
NexusVII 400%, 2007
Wood
10-3/4 x 5 x 3-1/4 inches (27.3 x 12.7 x 8.3 cm) (toy)
12-1/8 x 6-3/4 x 4-3/4 inches (30.8 x 17.1 x 12.1 cm) (box)
Edition of 400
Incised on the reverse with insignia and '© KAWS'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in white molded plastic, with white straw above and below the plastic. In black box with black lettering."
Emporio Armani (20th Century),BE@RBRICK 2000%,"$9,687.50",2016,Painted cast vinyl,55-1/2 x 26-1/2 x 23 inches (141.0 x 67.3 x 58.4 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","Emporio Armani (20th Century)
BE@RBRICK 2000%, 2016
Painted cast vinyl
55-1/2 x 26-1/2 x 23 inches (141.0 x 67.3 x 58.4 cm)
Stamped with the artist's name on the reverse
Produced by Medicom Toy, Japan

EXHIBITED:
/Style Up BE@RBRICK at Harbour City/, Hong Kong, September 19- October 16, 2016.

From the /Style Up BE@RBRICK at Harbour City/ exhibition catalog:
/BE@RBRICK's top is a pink/black striped mohair round-neck sweater with a sectioned smile, matched with black technical tricotine harem trousers and ankle boots with neon detail. Design inspiration is from Italian brand Emporio Armani fall/winter 2016 collection and the theme is New Pop. On a black background, use of digital signs and designs create a visual explosion./"
Lanvin (20th Century),BE@RBRICK 2000%,"$9,375.00",2016,Painted cast vinyl,55-1/2 x 26-1/2 x 23 inches (141.0 x 67.3 x 58.4 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","Lanvin (20th Century)
BE@RBRICK 2000%, 2016
Painted cast vinyl
55-1/2 x 26-1/2 x 23 inches (141.0 x 67.3 x 58.4 cm)
Stamped with the artist's name on the reverse

EXHIBITED:
/Style Up BE@RBRICK at Harbour City/, Hong Kong, September 19- October 16, 2016.

From the /Style Up BE@RBRICK at Harbour City/ exhibition catalog:
/The various patterns of the number 10 are specially designed by Lucas Ossendrijver, the head of menswear design of Lanvin, to showcase his distinctive style of simplicity and creativity. The number 10 marks Lucas' ten-year journey dedicated to Lanvin since 2006. In addition to this BE@RBRICK, a capsule collection in limited quantity is also created to celebrate his 10th anniversary./"
KAWS X BE@RBRICK,BWWT 400%,"$9,375.00",2005,Karimoku wood,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm) (toy),12-1/8 x 6-7/8 x 4-5/8 inches (30.8 x 17.5 x 11.7 cm) (box),,"Condition Report*:
Scuff to the back of the head","KAWS X BE@RBRICK
BWWT 400%, 2005
Karimoku wood
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm) (toy)
12-1/8 x 6-7/8 x 4-5/8 inches (30.8 x 17.5 x 11.7 cm) (box)
Incised on the reverse 'MEDICOM TOY / LIFE ENTERTAINMENT / JAPAN / ©KAWS..05'
Produced by Medicom Toy and BE@RBRICK, Japan

Comes in white molded plastic, with straw above and below the plastic. In pink and white box with pink lettering."
KAWS X BE@RBRICK,Companion 1000% (Blue/Grey),"$9,375.00",2006,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),,,"Condition Report*:
Scuffs to the underside of the feet and the back of the head; surface soil; discoloration to the crevaces. Does not come in original box.","KAWS X BE@RBRICK
Companion 1000% (Blue/Grey), 2006
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
Stamped to the reverse 'OriginaFake / ©KAWS..06' and the underside of the feet 'BE@RBRICK / MEDICOM TOY'
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,BBWW Tour 1000%,"$8,125.00",2012,Painted cast vinyl and fabric,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),31-1/2 x 16 x 12 inches (80 x 40.6 x 30.5 cm) (box),,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK
BBWW Tour 1000%, 2012
Painted cast vinyl and fabric
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
31-1/2 x 16 x 12 inches (80 x 40.6 x 30.5 cm) (box)
Stamped on the underside of the feet 'BE@RBRICK' and 'MEDICOM TOY'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes wrapped in plastic, in Styrofoam, in a black and white box.
This work was created to celebrate the 6th anniversary of the OriginalFake x Medicom Toy collaboration."
KAWS X BE@RBRICK,Dissected Companion 1000%,"$6,875.00",2008,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),,,"Condition Report*:
Mild scuffs to the underside of the feet; scuffs to the back of the head; surface soil. Does not come in original box.","KAWS X BE@RBRICK
Dissected Companion 1000%, 2008
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
Stamped to the underside of right foot 'KAWS..08 / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS (b. 1974),BBWW Tour BE@RBRICK 1000%,"$6,000.00",2012,Painted cast vinyl and fabric,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS (b. 1974)
BBWW Tour BE@RBRICK 1000%, 2012
Painted cast vinyl and fabric
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Produced by Medicom Toy, Japan and OriginalFake

This work was created to celebrate the 6th anniversary of the OriginalFake x Medicom Toy collaboration."
"KAWS (American, b. 1974)",BWWT 400% Be@rbrick,"$6,000.00",2005,Karimoku wood,10-1/2 x 5-1/2 x 3-3/4 inches (26.7 x 14.0 x 9.5 cm),,,"Condition Report*:
Two spots of abrasion to back of left leg; spot of wear to left heel; spot of wear to left shoulder. Comes in original box.","KAWS (American, b. 1974)
BWWT 400% Be@rbrick, 2005
Karimoku wood
10-1/2 x 5-1/2 x 3-3/4 inches (26.7 x 14.0 x 9.5 cm)
Incised on the reverse
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 1000% (Black),"$5,750.00",2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),,,"Condition Report*:
Surface soil. Does not come in original box.","KAWS X BE@RBRICK
Dissected Companion 1000% (Black), 2010
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
Stamped to the underside of the right foot 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo"
