콜라보,타이틀,출시년도,재질,크기,박스크기,예상가격,낙찰가격
KAWS (b. 1974),Companion Karimoku Version,2011,Karimoku wood,10-1/2 x 4-1/2 x 3-1/4 inches (26.7 x 11.4 x 8.3 cm),12 x 6-5/8 x 4-3/4 inches (30.5 x 16.8 x 12.1 cm),"$10,000 - $15,000.","62,500.00"
KAWS X Hajime Sorayama,No Future Companion (Black Chrome),2008,Metallized plastic,12-1/2 x 7-3/4 inches (31.8 x 19.7 cm),16-1/2 x 11-3/4 x 11-1/4 inches (41.9 x 29.8 x 28.6 cm),"$8,000 - $12,000.","22,500.00"
KAWS X Hajime Sorayama,No Future Companion (Silver Chrome),2008,Metallized plastic,12-1/2 x 7-3/4 x 7-3/4 inches (31.8 x 19.7 x 19.7 cm),16-1/2 x 11-3/4 x 11-1/4 inches (41.9 x 29.8 x 28.6 cm),"$8,000 - $12,000.","27,500.00"
KAWS (b. 1974),"Accomplice, set of two",2002,Painted cast vinyl,9-1/2 x 3-1/2 x 2 inches (24.1 x 8.9 x 5.1 cm),10 x 4 x 3 inches (25.4 x 10.2 x 7.6 cm),"$6,000 - $8,000.","17,500.00"
KAWS X BE@RBRICK,NexusVII 400%,2007,Wood,10-3/4 x 5 x 3-1/4 inches (27.3 x 12.7 x 8.3 cm),12-1/8 x 6-3/4 x 4-3/4 inches (30.8 x 17.1 x 12.1 cm),"$3,000 - $5,000.","11,875.00"
KAWS X Lucas Films,Darth Vader,2007,Painted cast vinyl,9-3/4 x 4-1/2 x 3-1/2 inches (24.8 x 11.4 x 8.9 cm),12-1/4 x 6-5/8 x 5-1/2 inches (31.1 x 16.8 x 14 cm),"$1,000 - $1,500.","16,250.00"
KAWS X Lucas Films,Stormtrooper,2008,Painted cast vinyl,9-3/4 x 4-1/2 x 3 inches (24.8 x 11.4 x 7.6 cm),12-1/4 x 6-5/8 x 5-5/8 inches (31.1 x 16.8 x 14.3 cm),"$1,000 - $1,500.","10,000.00"
KAWS X BE@RBRICK,BWWT 400%,2005,Karimoku wood,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm),12-1/8 x 6-7/8 x 4-5/8 inches (30.8 x 17.5 x 11.7 cm),"$3,000 - $5,000.","9,375.00"
KAWS X Disney,Pinocchio & Jiminy Cricket,2010,Painted cast vinyl,"10-1/4 x 5 x 4-1/2 inches (26 x 12.7 x 11.4 cm) (Pinocchio)
2-1/4 x 1 x 1 inches (5.7 x 2.5 x 2.5 cm) (Jiminy Cricket)",12 x 7-1/8 x 6-1/2 inches (30.5 x 18.1 x 16.5 cm),"$2,000 - $3,000.","13,750.00"
KAWS (b. 1974),Astro Boy,2012,Painted cast vinyl,14-3/4 x 6 x 4-1/2 inches (37.5 x 15.2 x 11.4 cm),16-1/2 x 8 x 6-1/2 inches (41.9 x 20.3 x 16.5 cm),"$1,500 - $2,500.","9,375.00"
KAWS X Lucas Films,Boba Fett,2013,Painted cast vinyl,9-3/4 x 4-5/8 x 3-3/4 inches (24.8 x 11.7 x 9.5 cm),12-1/4 x 6-5/8 x 5-5/8 inches (31.1 x 16.8 x 14.3 cm),"$1,000 - $1,500.","10,625.00"
KAWS (b. 1974),Five Years Later Companion (Glow in the Dark),2004,Cast vinyl,14-3/4 x 6-3/4 x 3-3/4 inches (37.5 x 17.1 x 9.5 cm),16-3/4 x 8-3/4 x 6 inches (42.5 x 22.2 x 15.2 cm),"$1,000 - $1,500.","5,750.00"
KAWS X BE@RBRICK,BBWW Tour 1000%,2012,Painted cast vinyl and fabric,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),31-1/2 x 16 x 12 inches (80 x 40.6 x 30.5 cm),"$2,000 - $3,000.","8,125.00"
KAWS (b. 1974),"Permanent Thirty-Three Heads, set of twelve",2008,Cast vinyl,1-1/2 x 1-1/4 x 1-3/4 inches (3.8 x 3.2 x 4.4 cm),,"$4,000 - $8,000.	","7,500.00"
KAWS (b. 1974),Astro Boy (Grey),2012,Painted cast vinyl,14-3/4 x 6 x 4-1/2 inches (37.5 x 15.2 x 11.4 cm),16-1/2 x 8 x 6-1/2 inches (41.9 x 20.3 x 16.5 cm),"$1,500 - $2,500.","5,750.00"
KAWS (b. 1974),"Companion, set of eight",2016,Painted cast vinyl,"10-1/2 x 4-1/2 x 2-1/2 inches (26.7 x 11.4 x 6.4 cm) (toy,","12 x 5-1/2 x 3-1/2 inches (30.5 x 14 x 8.9 cm) (packaging,","$3,000 - $5,000.","7,500.00"
