iter	Passed	Remaining
0	1	1603
1	3	1618
2	4	1610
3	6	1611
4	8	1615
5	9	1618
6	11	1608
7	12	1601
8	14	1594
9	16	1589
10	17	1580
11	19	1577
12	20	1577
13	22	1577
14	23	1575
15	25	1572
16	27	1570
17	28	1569
18	30	1566
19	31	1563
20	33	1559
21	35	1559
22	36	1557
23	38	1555
24	39	1554
25	41	1552
26	43	1551
27	44	1551
28	46	1549
29	47	1549
30	49	1547
31	51	1545
32	52	1545
33	54	1552
34	56	1566
35	58	1564
36	60	1562
37	61	1560
38	63	1557
39	64	1554
40	66	1555
41	68	1552
42	69	1550
43	71	1548
44	72	1547
45	74	1544
46	76	1541
47	77	1539
48	79	1537
49	80	1535
50	82	1533
51	84	1531
52	85	1530
53	87	1528
54	88	1526
55	90	1523
56	92	1522
57	93	1521
58	95	1518
59	96	1517
60	98	1515
61	100	1513
62	101	1511
63	103	1520
64	107	1545
65	109	1543
66	110	1540
67	112	1538
68	113	1535
69	115	1533
70	117	1532
71	118	1529
72	120	1529
73	122	1526
74	123	1524
75	125	1522
76	126	1518
77	128	1517
78	129	1514
79	131	1512
80	133	1512
81	134	1509
82	136	1507
83	138	1505
84	139	1503
85	141	1501
86	142	1500
87	144	1498
88	146	1496
89	147	1495
90	149	1493
91	151	1491
92	152	1489
93	154	1487
94	155	1485
95	157	1483
96	159	1480
97	160	1478
98	162	1476
99	163	1474
100	165	1472
101	167	1471
102	168	1469
103	170	1467
104	171	1465
105	173	1463
106	175	1461
107	176	1460
108	178	1460
109	180	1458
110	181	1457
111	183	1456
112	185	1455
113	186	1452
114	188	1451
115	190	1449
116	191	1447
117	193	1445
118	194	1443
119	196	1441
120	198	1440
121	199	1438
122	201	1436
123	203	1435
124	204	1433
125	206	1433
126	208	1431
127	209	1429
128	211	1427
129	213	1425
130	214	1424
131	216	1422
132	218	1421
133	219	1419
134	221	1417
135	222	1415
136	224	1414
137	226	1411
138	227	1410
139	229	1408
140	230	1406
141	232	1404
142	234	1402
143	235	1400
144	237	1399
145	239	1398
146	240	1396
147	242	1394
148	243	1392
149	245	1390
150	246	1388
151	248	1386
152	250	1384
153	251	1382
154	253	1380
155	254	1379
156	256	1377
157	258	1375
158	259	1373
159	261	1371
160	262	1370
161	264	1368
162	266	1366
163	267	1364
164	269	1362
165	270	1360
166	272	1359
167	274	1357
168	275	1355
169	277	1353
170	278	1351
171	280	1350
172	282	1348
173	283	1347
174	285	1345
175	287	1344
176	289	1345
177	290	1343
178	292	1341
179	294	1339
180	295	1338
181	297	1336
182	298	1334
183	300	1333
184	302	1331
185	303	1329
186	305	1328
187	307	1326
188	308	1324
189	310	1322
190	311	1321
191	313	1319
192	315	1317
193	316	1315
194	318	1316
195	320	1314
196	322	1312
197	323	1311
198	325	1309
199	326	1307
200	328	1306
201	330	1304
202	331	1302
203	333	1301
204	335	1299
205	336	1298
206	338	1296
207	340	1294
208	341	1293
209	343	1291
210	344	1289
211	346	1288
212	348	1286
213	349	1284
214	351	1283
215	353	1281
216	354	1279
217	356	1278
218	358	1276
219	359	1274
220	361	1273
221	362	1271
222	364	1269
223	366	1268
224	367	1266
225	369	1264
226	371	1263
227	372	1261
228	374	1260
229	375	1258
230	377	1257
231	379	1255
232	380	1253
233	382	1252
234	384	1250
235	385	1248
236	387	1247
237	389	1245
238	390	1244
239	392	1242
240	397	1250
241	401	1256
242	404	1259
243	406	1260
244	408	1258
245	411	1259
246	413	1260
247	415	1260
248	418	1261
249	420	1261
250	422	1261
251	425	1262
252	428	1263
253	430	1262
254	432	1264
255	435	1265
256	437	1266
257	440	1266
258	442	1265
259	444	1266
260	447	1266
261	449	1266
262	452	1266
263	454	1267
264	457	1267
265	459	1267
266	461	1267
267	464	1268
268	466	1268
269	468	1268
270	471	1269
271	474	1269
272	477	1270
273	479	1270
274	483	1273
275	485	1274
276	488	1276
277	491	1277
278	493	1274
279	495	1274
280	497	1272
281	498	1270
282	500	1268
283	502	1265
284	503	1263
285	505	1261
286	507	1259
287	508	1257
288	510	1255
289	511	1253
290	513	1251
291	515	1248
292	516	1246
293	518	1244
294	519	1242
295	521	1240
296	523	1238
297	524	1236
298	526	1234
299	528	1232
300	529	1230
301	531	1228
302	533	1226
303	534	1224
304	536	1222
305	537	1219
306	539	1217
307	541	1215
308	542	1213
309	544	1211
310	545	1209
311	547	1207
312	549	1205
313	550	1203
314	552	1201
315	554	1199
316	555	1197
317	557	1195
318	559	1193
319	560	1191
320	562	1189
321	564	1187
322	565	1185
323	567	1183
324	568	1181
325	570	1179
326	572	1177
327	573	1175
328	576	1175
329	577	1173
330	579	1171
331	581	1169
332	582	1167
333	584	1165
334	586	1163
335	587	1161
336	589	1160
337	591	1158
338	592	1156
339	594	1154
340	596	1152
341	597	1150
342	599	1148
343	601	1146
344	603	1145
345	604	1143
346	606	1141
347	608	1139
348	609	1137
349	611	1135
350	612	1133
351	614	1131
352	616	1129
353	617	1127
354	619	1125
355	621	1123
356	622	1121
357	624	1119
358	626	1117
359	627	1116
360	629	1114
