iter	Passed	Remaining
0	1	1748
1	3	1737
2	4	1520
3	6	1542
4	7	1587
5	9	1583
6	11	1586
7	12	1589
8	14	1587
9	16	1587
10	18	1622
11	19	1629
12	20	1573
13	22	1575
14	23	1575
15	25	1575
16	27	1571
17	28	1571
18	30	1571
19	32	1578
20	33	1579
21	35	1578
22	37	1578
23	38	1575
24	40	1576
25	42	1577
26	43	1578
27	45	1589
28	47	1587
29	49	1615
30	51	1615
31	53	1612
32	54	1610
33	56	1606
34	58	1604
35	59	1603
36	61	1601
37	63	1598
38	65	1608
39	66	1606
40	68	1603
41	70	1602
42	71	1600
43	73	1599
44	75	1596
45	76	1593
46	78	1592
47	80	1601
48	82	1598
49	84	1599
50	86	1613
51	88	1617
52	90	1618
53	92	1615
54	93	1611
55	95	1618
56	97	1614
57	99	1612
58	100	1609
59	102	1605
60	104	1602
61	105	1599
62	107	1598
63	109	1596
64	111	1602
65	113	1599
66	114	1596
67	116	1594
68	118	1592
69	120	1601
70	122	1599
71	123	1596
72	125	1593
73	127	1597
74	129	1593
75	130	1590
76	132	1587
77	134	1585
78	135	1581
79	137	1578
80	138	1575
81	140	1573
82	142	1574
83	144	1571
84	145	1569
85	147	1567
86	149	1564
87	150	1562
88	152	1560
89	154	1560
90	156	1561
91	158	1565
92	161	1571
93	162	1569
94	164	1566
95	166	1564
96	167	1562
97	169	1562
98	172	1567
99	173	1564
100	175	1562
101	177	1559
102	178	1556
103	180	1553
104	182	1551
105	183	1548
106	185	1546
107	187	1545
108	188	1544
109	190	1541
110	192	1538
111	193	1536
112	195	1534
113	197	1532
114	198	1530
115	200	1527
116	202	1524
117	204	1527
118	205	1525
119	207	1523
120	209	1520
121	210	1518
122	212	1515
123	214	1514
124	216	1512
125	217	1509
126	219	1507
127	221	1507
128	222	1504
129	224	1501
130	225	1498
131	227	1496
132	229	1493
133	230	1491
134	232	1488
135	234	1487
136	236	1486
137	237	1484
138	239	1482
139	241	1480
140	242	1478
141	244	1476
142	245	1474
143	247	1472
144	249	1469
145	251	1470
146	253	1469
147	254	1467
148	256	1465
149	258	1464
150	260	1462
151	261	1460
152	263	1458
153	265	1455
154	266	1455
155	268	1453
156	270	1451
157	272	1449
158	273	1447
159	275	1445
160	276	1443
161	278	1441
162	280	1442
163	283	1447
164	285	1445
165	287	1443
166	288	1441
167	290	1439
168	292	1437
169	293	1435
170	295	1433
171	297	1431
172	299	1430
173	301	1429
174	302	1426
175	304	1424
176	306	1423
177	307	1421
178	309	1419
179	311	1417
180	313	1416
181	314	1414
182	316	1412
183	318	1410
184	319	1408
185	321	1406
186	323	1404
187	324	1402
188	326	1399
189	327	1398
190	329	1396
191	331	1394
192	332	1392
193	334	1389
194	336	1387
195	337	1385
196	339	1383
197	341	1381
198	342	1379
199	344	1379
200	346	1378
201	348	1375
202	349	1373
203	351	1371
204	353	1369
205	354	1367
206	356	1365
207	358	1363
208	359	1362
209	361	1360
210	363	1358
211	364	1356
212	366	1354
213	368	1352
214	369	1350
215	371	1348
216	373	1346
217	375	1345
218	376	1343
219	378	1341
220	379	1339
221	381	1337
222	383	1335
223	385	1333
224	386	1331
225	388	1330
226	390	1328
227	392	1328
228	393	1326
229	395	1324
230	397	1322
231	398	1320
232	400	1318
233	402	1316
234	403	1314
235	405	1312
236	407	1311
237	408	1309
238	410	1307
239	412	1305
240	413	1303
241	415	1302
242	417	1300
243	418	1298
244	420	1296
245	423	1297
246	424	1295
247	426	1293
248	428	1291
249	430	1290
250	431	1288
251	433	1286
252	435	1284
253	437	1283
254	438	1281
255	440	1280
256	442	1278
257	443	1276
258	445	1274
259	447	1272
260	449	1271
261	450	1269
262	452	1268
263	454	1266
264	455	1264
265	457	1262
266	459	1260
267	460	1258
268	462	1257
269	464	1255
270	465	1253
271	467	1251
272	469	1250
273	471	1248
274	472	1246
275	474	1245
276	476	1243
277	478	1241
278	479	1239
279	481	1237
280	483	1236
281	485	1235
282	487	1235
283	489	1233
284	491	1231
285	492	1230
286	494	1229
287	496	1227
288	498	1225
289	500	1224
290	501	1222
291	503	1220
292	505	1219
293	506	1216
294	508	1214
295	509	1212
296	511	1210
297	513	1208
298	515	1209
299	517	1207
300	519	1206
301	521	1204
302	522	1202
303	524	1200
304	525	1198
305	527	1196
306	529	1194
307	531	1193
308	532	1191
309	534	1189
310	536	1188
311	537	1186
312	539	1184
313	541	1182
314	542	1180
315	544	1178
316	546	1177
317	548	1175
318	549	1173
319	551	1171
320	552	1169
321	554	1167
322	556	1165
323	557	1163
324	559	1161
325	561	1160
326	563	1159
327	565	1157
328	566	1155
329	568	1154
330	570	1152
331	571	1150
332	573	1148
333	575	1146
334	576	1144
335	578	1144
336	580	1142
337	582	1140
338	584	1138
339	585	1136
340	587	1135
341	589	1133
342	590	1131
343	592	1129
344	594	1128
345	596	1126
346	597	1125
347	599	1123
348	601	1121
349	602	1119
350	604	1117
351	606	1116
352	607	1114
353	609	1113
354	611	1111
355	613	1109
356	614	1107
357	616	1105
358	618	1103
359	619	1101
360	621	1099
361	623	1098
362	624	1096
363	626	1094
364	628	1092
365	629	1091
366	631	1089
367	633	1087
368	634	1085
369	636	1083
370	638	1081
371	639	1080
372	641	1078
373	643	1077
374	645	1075
375	646	1073
376	648	1072
377	650	1070
378	652	1068
379	653	1066
380	655	1065
381	657	1063
382	659	1061
383	660	1059
384	662	1057
385	664	1056
386	665	1054
387	667	1052
388	668	1050
389	670	1049
